Gender,Handedness,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,State,Textbook,Textbook.last,Wage,Age,Date,Heart
Male,Right,Yes,No,No,Yes,SO,30,69,3,OH,0,90,13.00,50,No,86
Male,Right,Yes,No,No,Yes,FR,14,69,2,NY,29,7,18.00,50,Yes,75
Male,Right,Yes,No,No,Yes,JR,116,70,4,TX,120,50,9.00,48,No,85
Male,Right,Yes,Yes,Yes,Yes,SO,43,65,2,ID,150,0,13.50,40,Yes,75
Male,Right,No,No,No,No,SO,50,70,2,CA,130,70,24.00,44,Yes,
Male,Right,Yes,Yes,No,No,SO,45,74,5,WV,50,52,,,Yes,84
Male,Right,No,No,Yes,Yes,FR,18,73,3,KS,47,80,14.50,47,Yes,84
Male,Right,Yes,No,No,Yes,SO,25,70,6,CA,70,20,16.00,58,No,70
Male,Right,Yes,No,No,No,JR,60,73,3,LA,30,120,20.00,,Yes,60
Male,Right,No,No,No,Yes,FR,13,70,5,VA,155,30,15.00,67,Yes,80
Male,Right,Yes,Yes,Yes,No,JR,70,69,3,MT,30,60,12.00,68,Yes,80
Male,Right,Yes,Yes,No,Yes,JR,70,77,3,WA,80,70,20.00,50,No,65
Male,Left,No,No,No,Yes,SO,47,74.3,1,ID,80,40,11.00,32,No,75
Male,Right,Yes,Yes,No,No,SO,63,71,5,UT,75,60,15.50,45,No,72
Male,Right,Yes,No,No,Yes,SO,50,72,5,WA,50,60,10.50,54,No,85
Male,Left,Yes,No,No,No,JR,60,71,3,ID,50,100,40.00,52,No,70
Male,Left,Yes,No,No,Yes,JR,76,71,2,UT,46,256,18.00,57,No,59
Male,Right,Yes,No,No,No,SO,44,77,5,OH,5,0,80.00,52,No,100
Male,Left,Yes,Yes,Yes,Yes,JR,60,75,3,UT,16,170,10.50,47,No,87
Male,Right,Yes,No,No,No,FR,24,69,3,Chile,0,30,11.00,61,No,84
Male,Right,Yes,Yes,No,Yes,SO,50,76,6,TX,50,85,19.00,52,No,75
Male,Right,No,No,No,Yes,JR,80,69,3,MO,30,50,18.00,55,Yes,75
Male,Right,Yes,Yes,Yes,No,JR,50,68,5,ID,30,78,18.00,37,Yes,105
Male,Right,Yes,No,No,No,FR,22,71,2,South Africa,13,25,13.50,57,No,76
Male,Right,No,No,No,Yes,FR,0,60,4,OR,72,0,16.45,42,Yes,86
Male,Right,Yes,Yes,No,Yes,SR,89,72,5,MA,56,50,21.00,50,Yes,76
Male,Right,Yes,No,No,Yes,JR,70,69,4,ID,15,20,15.00,45,Yes,75
Male,Right,Yes,Yes,No,Yes,JR,90,73,2,ID,0,0,45.00,40,No,52
Male,Right,No,No,No,Yes,FR,10,67,2,OH,120,79,25.00,54,Yes,62.5
Male,Right,Yes,Yes,No,No,SO,36,70,1,ID,100,200,11.00,54,No,63
Male,Right,Yes,No,No,No,JR,80,74,2,ID,60,100,12.00,45,Yes,80
Male,Right,No,No,No,Yes,SO,24,70,6,TX, ,100,16.00,55,No,49
Male,Right,Yes,No,Yes,No,SO,60,73,4,CA,300,100,20.00,56,No,84
Male,Right,No,No,No,No,JR,69,75,1,TX,0,0,13.00,63,No,85
Male,Right,Yes,Yes,No,No,JR,70,72,5,ID,80,100,18.00,54,Yes,81
Male,Right,Yes,Yes,No,No,FR,0,72,3,MT,60,0,15.00,62,No,50
Male,Right,Yes,No,No,Yes,SR,110,72,4,ID,0,150,18.00,48,Yes,73
Male,Right,Yes,No,No,Yes,FR,,68,5,India ,,,,50,Yes,96
Male,Right,Yes,Yes,No,Yes,JR,80,69,2,WA,100,150,14.00,48,Yes,55
Male,Right,Yes,No,No,No,SO,46,73,5,FL,180,0,15.00,57,Yes,80
Male,Right,Yes,Yes,No,No,SO,82,58,4,Brazil,200,,11.00,58,No,75
Male,Right,Yes,No,No,No,JR,90,70,2,ID,0,0,30.00,60,No,59
